order_id,customer_id,ship_mode,vendor_id,order_status,order_purchase_date,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
CA-2014-114195,EA-14035,First Class,VEN05,delivered,02-12-2017 15:12,05-12-2017,12-5-17 5:43 PM,12-14-17 1:42 PM,2017-12-27
CA-2014-115161,LC-17050,First Class,VEN03,delivered,24-11-2017 18:08,24-11-2017,11-25-17 3:23 PM,12-4-17 7:15 PM,2017-12-15
CA-2014-115973,NG-18430,First Class,VEN03,delivered,04-04-2018 12:20,04-04-2018,4-5-18 12:36 AM,5-25-18 5:17 PM,2018-05-02
CA-2014-116666,KT-16480,First Class,VEN03,delivered,13-08-2018 20:25,13-08-2018,8-21-18 2:14 PM,8-25-18 4:58 PM,2018-09-14
CA-2014-117478,LH-16750,First Class,VEN03,delivered,01-02-2018 22:36,01-02-2018,2-8-18 6:09 PM,2-21-18 7:49 PM,2018-03-02
CA-2014-119144,JD-16150,First Class,VEN03,delivered,01-12-2017 18:18,01-12-2017,12-4-17 7:13 PM,12-12-17 4:52 PM,2017-12-27
CA-2014-120096,KE-16420,First Class,VEN01,delivered,10-08-2017 15:08,11-08-2017,8-11-17 4:17 PM,8-30-17 12:17 PM,2017-09-12
CA-2014-120411,SB-20185,First Class,VEN01,delivered,15-08-2018 12:24,17-08-2018,8-21-18 3:00 PM,8-28-18 8:36 AM,2018-09-25
CA-2014-120474,RP-19390,First Class,VEN05,delivered,12-05-2018 13:38,12-05-2018,5-14-18 12:42 PM,5-23-18 5:32 PM,2018-06-06
CA-2014-123064,RA-19915,First Class,VEN04,delivered,25-06-2018 12:37,25-06-2018,6-25-18 6:32 PM,7-3-18 6:38 PM,2018-07-26
CA-2014-123225,MN-17935,First Class,VEN02,delivered,06-06-2017 23:32,08-06-2017,6-14-17 4:56 PM,6-23-17 12:27 PM,2017-07-03
CA-2014-123498,TC-20980,First Class,VEN02,delivered,02-01-2018 21:41,02-01-2018,1-3-18 5:52 PM,1-9-18 7:58 PM,2018-01-31
CA-2014-124023,PJ-19015,First Class,VEN02,delivered,01-01-2018 21:11,01-01-2018,1-5-18 10:11 PM,1-13-18 1:29 AM,2018-01-31
CA-2014-124646,DV-13465,First Class,VEN03,delivered,27-02-2018 17:09,27-02-2018,3-1-18 1:23 AM,3-16-18 1:06 AM,2018-03-26
CA-2014-124688,CC-12610,First Class,VEN01,invoiced,29-11-2017 08:33,29-11-2017,,,2017-12-20
CA-2014-125514,BM-11650,First Class,VEN04,delivered,30-08-2017 10:56,30-08-2017,9-4-17 2:52 PM,9-12-17 9:24 PM,2017-09-28
CA-2014-125542,NB-18655,First Class,VEN02,delivered,21-12-2017 20:16,21-12-2017,12-26-17 2:17 PM,12-28-17 6:49 PM,2018-01-17
CA-2014-125682,RB-19645,First Class,VEN02,delivered,20-06-2017 14:21,21-06-2017,6-26-17 5:07 PM,6-27-17 7:52 PM,2017-07-10
CA-2014-125759,NM-18445,First Class,VEN01,delivered,08-01-2018 13:17,10-01-2018,1-12-18 11:39 PM,1-19-18 4:28 PM,2018-02-05
CA-2014-125997,MW-18220,First Class,VEN04,delivered,18-06-2017 17:55,21-06-2017,6-21-17 2:10 PM,7-6-17 4:13 PM,2017-07-11
CA-2014-127159,HL-15040,First Class,VEN02,delivered,19-11-2017 16:20,19-11-2017,11-20-17 7:41 PM,12-1-17 11:38 PM,2017-12-14
CA-2014-127558,SS-20410,First Class,VEN02,delivered,26-10-2017 12:50,26-10-2017,10-31-17 8:51 PM,11-7-17 7:34 PM,2017-11-14
CA-2014-127866,JD-15895,First Class,VEN04,delivered,10-03-2018 20:39,10-03-2018,3-14-18 6:28 PM,3-21-18 8:32 PM,2018-03-28
CA-2014-127936,CL-12565,First Class,VEN04,delivered,10-08-2018 09:42,14-08-2018,8-16-18 1:56 PM,8-20-18 6:23 PM,2018-08-28
CA-2014-128524,MZ-17515,First Class,VEN01,delivered,13-09-2017 00:46,13-09-2017,9-13-17 9:35 PM,9-14-17 6:32 PM,2017-09-25
CA-2014-129574,Dp-13240,First Class,VEN02,delivered,08-06-2017 17:30,08-06-2017,6-9-17 1:42 PM,6-19-17 8:19 PM,2017-07-07
CA-2014-130092,SV-20365,First Class,VEN05,delivered,08-12-2017 14:09,08-12-2017,12-11-17 4:28 PM,1-17-18 8:39 PM,2018-01-08
CA-2014-130155,TD-20995,First Class,VEN02,delivered,08-02-2017 16:41,09-02-2017,2-10-17 10:47 AM,2-17-17 12:56 PM,2017-03-13
CA-2014-130274,JS-15940,First Class,VEN04,delivered,09-05-2017 10:34,11-05-2017,5-12-17 6:26 PM,5-22-17 10:12 AM,2017-05-29
CA-2014-130449,VP-21760,First Class,VEN01,delivered,07-08-2018 10:11,07-08-2018,8-7-18 12:35 PM,8-14-18 10:58 PM,2018-08-29
CA-2014-130575,CS-11845,First Class,VEN04,delivered,18-05-2017 15:47,20-05-2017,5-25-17 10:38 AM,5-29-17 11:07 AM,2017-06-20
CA-2014-130624,TB-21280,First Class,VEN05,delivered,31-08-2017 12:27,31-08-2017,9-1-17 7:16 PM,9-8-17 7:54 PM,2017-09-19
CA-2014-131387,AI-10855,First Class,VEN05,delivered,24-07-2018 16:00,24-07-2018,7-27-18 3:10 PM,8-2-18 9:50 PM,2018-08-16
CA-2014-131905,ND-18460,First Class,VEN02,delivered,07-05-2018 16:55,07-05-2018,5-8-18 2:36 PM,5-21-18 7:42 PM,2018-06-05
CA-2014-132010,MA-17995,First Class,VEN03,delivered,06-04-2018 14:07,06-04-2018,4-7-18 4:22 PM,4-13-18 6:37 PM,2018-04-30
CA-2014-132451,KF-16285,First Class,VEN05,delivered,24-07-2017 17:18,24-07-2017,7-26-17 6:24 PM,8-3-17 7:22 PM,2017-08-16
CA-2014-132913,AS-10090,First Class,VEN01,delivered,04-04-2018 17:24,04-04-2018,4-5-18 8:06 PM,4-18-18 2:03 AM,2018-05-04
CA-2014-132962,JM-15535,First Class,VEN02,delivered,05-07-2017 07:54,05-07-2017,7-6-17 11:55 AM,7-12-17 5:53 PM,2017-07-27
CA-2014-133270,BM-11785,First Class,VEN05,delivered,02-04-2017 15:25,04-04-2017,4-4-17 5:32 PM,4-12-17 6:09 PM,2017-05-12
CA-2014-133354,SA-20830,First Class,VEN04,delivered,26-05-2018 13:56,26-05-2018,5-30-18 7:05 PM,6-1-18 10:02 PM,2018-06-20
CA-2014-133690,BS-11755,First Class,VEN05,delivered,13-07-2018 22:22,13-07-2018,7-24-18 7:07 PM,7-25-18 2:03 PM,2018-07-31
CA-2014-134278,EP-13915,First Class,VEN01,delivered,08-02-2017 21:38,10-02-2017,2-10-17 10:41 AM,2-14-17 1:07 PM,2017-03-07
CA-2014-136399,CC-12100,First Class,VEN01,delivered,18-06-2018 19:57,18-06-2018,6-22-18 9:49 AM,6-28-18 8:50 PM,2018-07-24
CA-2014-136567,PS-19045,First Class,VEN03,delivered,13-05-2017 11:51,13-05-2017,5-16-17 10:41 AM,5-22-17 11:22 PM,2017-05-24
CA-2014-136861,PR-18880,First Class,VEN04,delivered,31-05-2018 22:26,31-05-2018,6-1-18 2:31 PM,6-2-18 6:52 PM,2018-06-26
CA-2014-138023,KH-16510,First Class,VEN01,delivered,25-06-2017 08:11,27-06-2017,7-7-17 7:34 PM,7-28-17 7:25 PM,2017-08-08
CA-2014-138681,CT-11995,First Class,VEN05,delivered,16-07-2017 18:21,16-07-2017,7-21-17 11:13 AM,7-28-17 5:59 PM,2017-08-08
CA-2014-138737,FP-14320,First Class,VEN01,delivered,17-08-2017 15:40,17-08-2017,8-18-17 7:23 PM,8-21-17 3:24 PM,2017-08-30
CA-2014-140165,EH-14005,First Class,VEN01,delivered,26-04-2018 18:28,26-04-2018,5-3-18 11:35 AM,5-11-18 7:45 PM,2018-06-01
CA-2014-140662,TS-21205,First Class,VEN05,delivered,28-04-2017 20:13,28-04-2017,5-2-17 2:43 PM,5-23-17 3:39 PM,2017-06-08
CA-2014-140795,BD-11500,First Class,VEN03,delivered,15-10-2017 17:12,15-10-2017,10-17-17 9:05 PM,10-23-17 10:04 PM,2017-11-01
CA-2014-141005,CS-12355,First Class,VEN04,delivered,18-06-2017 23:47,19-06-2017,6-19-17 8:02 PM,6-23-17 11:37 AM,2017-07-11
CA-2014-141152,RF-19345,First Class,VEN05,delivered,26-08-2018 19:45,26-08-2018,8-27-18 3:57 PM,8-30-18 8:36 PM,2018-09-13
CA-2014-141278,RM-19375,First Class,VEN03,delivered,19-07-2018 20:26,19-07-2018,7-20-18 2:25 PM,7-24-18 7:46 PM,2018-08-07
CA-2014-141726,CC-12145,First Class,VEN02,delivered,02-06-2017 18:30,02-06-2017,6-8-17 12:22 PM,6-19-17 4:02 PM,2017-07-11
CA-2014-142048,JE-15745,First Class,VEN02,delivered,08-05-2018 12:30,08-05-2018,5-9-18 11:23 AM,5-15-18 4:46 PM,2018-05-28
CA-2014-142587,TB-21520,First Class,VEN05,delivered,05-07-2018 18:28,05-07-2018,7-10-18 3:03 PM,7-12-18 5:12 PM,2018-07-30
CA-2014-143210,AA-10645,First Class,VEN05,delivered,06-10-2016 20:06,08-10-2016,10-12-16 11:00 AM,10-15-16 11:00 AM,2016-11-28
CA-2014-146591,TS-21340,First Class,VEN02,delivered,23-08-2017 11:36,23-08-2017,8-23-17 7:23 PM,8-29-17 11:03 PM,2017-09-27
CA-2014-146990,BP-11095,First Class,VEN04,delivered,09-11-2017 12:05,10-11-2017,11-10-17 10:18 PM,11-14-17 7:27 PM,2017-11-23
CA-2014-149524,BS-11590,First Class,VEN02,delivered,19-06-2018 19:15,20-06-2018,6-23-18 8:31 AM,6-27-18 2:11 PM,2018-08-02
CA-2014-150203,JB-15925,First Class,VEN05,delivered,06-08-2017 11:48,06-08-2017,8-8-17 9:05 PM,8-27-17 4:12 PM,2017-09-11
CA-2014-150301,MH-18025,First Class,VEN02,delivered,08-08-2018 21:52,09-08-2018,8-10-18 12:04 PM,8-17-18 11:18 AM,2018-08-27
CA-2014-151001,JG-15805,First Class,VEN05,delivered,06-09-2017 13:14,08-09-2017,9-15-17 5:38 PM,9-21-17 4:13 PM,2017-10-04
CA-2014-151330,TC-21295,First Class,VEN01,delivered,29-05-2017 10:44,31-05-2017,6-1-17 1:19 PM,6-12-17 1:12 PM,2017-06-19
CA-2014-151554,CM-11815,First Class,VEN03,delivered,05-02-2018 16:47,05-02-2018,2-7-18 3:04 PM,2-20-18 7:59 PM,2018-03-12
CA-2014-151995,ZC-21910,First Class,VEN03,delivered,16-05-2017 00:46,16-05-2017,5-16-17 10:30 AM,5-19-17 3:27 PM,2017-06-05
CA-2014-152233,KH-16510,First Class,VEN01,delivered,11-06-2018 08:06,11-06-2018,6-11-18 3:01 PM,6-13-18 10:46 PM,2018-06-20
CA-2014-152296,IL-15100,First Class,VEN02,delivered,08-05-2018 16:55,08-05-2018,5-10-18 1:09 PM,5-11-18 7:06 PM,2018-05-16
CA-2014-152618,RB-19465,First Class,VEN02,delivered,17-01-2018 14:35,18-01-2018,1-19-18 6:42 PM,2-9-18 8:38 PM,2018-02-08
CA-2014-153927,LL-16840,First Class,VEN01,delivered,30-04-2018 14:20,30-04-2018,5-2-18 7:01 PM,5-3-18 3:23 PM,2018-05-21
CA-2014-154592,EH-14005,First Class,VEN05,delivered,24-01-2018 09:08,24-01-2018,1-24-18 8:51 PM,1-30-18 3:38 PM,2018-02-20
CA-2014-154627,SA-20830,First Class,VEN03,delivered,20-09-2017 21:08,20-09-2017,9-26-17 5:12 PM,10-3-17 7:58 PM,2017-10-18
CA-2014-156314,RP-19390,First Class,VEN05,delivered,25-01-2018 15:09,26-01-2018,1-30-18 2:42 PM,2-9-18 9:08 PM,2018-02-26
CA-2014-156545,JS-16030,First Class,VEN05,delivered,15-08-2017 12:43,16-08-2017,8-17-17 1:03 PM,8-29-17 8:12 PM,2017-09-06
CA-2014-156587,AB-10015,First Class,VEN04,delivered,15-08-2018 20:47,15-08-2018,8-17-18 12:05 PM,8-23-18 11:32 PM,2018-09-03
CA-2014-157546,RD-19720,First Class,VEN03,delivered,29-01-2018 20:19,29-01-2018,1-30-18 10:53 PM,2-1-18 10:05 PM,2018-02-21
CA-2014-157644,AH-10030,First Class,VEN05,delivered,06-12-2017 13:07,06-12-2017,12-7-17 6:09 PM,12-18-17 9:09 PM,2017-12-29
CA-2014-157721,JM-16195,First Class,VEN01,delivered,31-03-2018 17:31,31-03-2018,4-3-18 3:03 AM,4-7-18 1:14 PM,2018-04-19
CA-2014-157784,MC-17845,First Class,VEN05,delivered,20-04-2018 14:42,24-04-2018,4-24-18 11:59 PM,5-3-18 4:15 PM,2018-05-15
CA-2014-157924,HA-14920,First Class,VEN04,delivered,20-08-2017 08:17,20-08-2017,8-22-17 9:03 PM,9-2-17 6:20 PM,2017-09-13
CA-2014-158540,VG-21790,First Class,VEN02,delivered,11-03-2018 19:49,11-03-2018,3-12-18 5:41 PM,4-8-18 6:22 PM,2018-04-05
CA-2014-159338,NS-18640,First Class,VEN02,delivered,27-11-2017 00:58,27-11-2017,11-28-17 4:43 PM,12-11-17 5:33 PM,2017-12-21
CA-2014-159800,SG-20470,First Class,VEN04,delivered,30-08-2017 09:02,30-08-2017,9-1-17 6:53 PM,9-15-17 8:53 PM,2017-10-05
CA-2014-160094,JM-16195,First Class,VEN01,delivered,06-11-2017 10:39,08-11-2017,11-8-17 7:33 PM,11-16-17 8:08 PM,2017-11-30
CA-2014-162089,MP-17470,First Class,VEN01,delivered,06-08-2018 08:58,06-08-2018,8-6-18 4:46 PM,8-10-18 11:02 AM,2018-08-22
CA-2014-162992,BP-11095,First Class,VEN03,delivered,05-10-2017 22:11,05-10-2017,10-6-17 8:39 PM,10-11-17 9:43 PM,2017-10-27
CA-2014-163293,KC-16255,First Class,VEN05,delivered,14-05-2017 23:54,15-05-2017,5-15-17 9:22 AM,5-22-17 1:52 PM,2017-06-09
CA-2014-163468,JK-15730,First Class,VEN01,delivered,17-04-2018 11:58,17-04-2018,4-18-18 9:56 PM,4-25-18 12:33 PM,2018-05-10
CA-2014-163650,TT-21220,First Class,VEN02,delivered,28-04-2018 15:18,28-04-2018,5-2-18 3:15 PM,5-12-18 1:24 AM,2018-05-24
CA-2014-163867,RE-19450,First Class,VEN05,delivered,11-11-2017 19:09,11-11-2017,11-16-17 12:28 PM,11-23-17 5:17 PM,2017-12-06
CA-2014-164259,SP-20860,First Class,VEN04,delivered,04-12-2017 17:42,04-12-2017,12-8-17 9:38 PM,12-15-17 11:42 PM,2017-12-28
CA-2014-164749,BG-11740,First Class,VEN01,delivered,31-01-2018 22:50,31-01-2018,2-1-18 8:38 PM,2-19-18 7:22 PM,2018-03-01
CA-2014-165393,NC-18415,First Class,VEN03,delivered,11-04-2018 10:58,12-04-2018,4-13-18 9:34 PM,4-16-18 7:46 PM,2018-04-27
CA-2014-165428,JL-15130,First Class,VEN04,delivered,14-06-2017 20:22,14-06-2017,6-19-17 8:12 AM,6-19-17 7:36 PM,2017-06-29
CA-2014-166555,JK-15205,First Class,VEN01,delivered,30-07-2018 12:20,30-07-2018,7-31-18 8:22 AM,8-3-18 1:21 PM,2018-08-16
CA-2014-166730,DD-13570,First Class,VEN03,delivered,05-03-2018 15:56,05-03-2018,3-6-18 7:15 PM,4-7-18 7:41 PM,2018-03-21
CA-2014-166891,CC-12220,First Class,VEN05,delivered,21-05-2017 21:09,21-05-2017,5-22-17 10:52 AM,5-26-17 10:22 AM,2017-06-16
CA-2014-167997,CA-11965,First Class,VEN02,delivered,26-04-2018 13:13,26-04-2018,4-27-18 3:21 PM,5-3-18 5:58 PM,2018-05-22
CA-2014-168823,MA-17560,First Class,VEN05,delivered,21-06-2018 16:29,21-06-2018,6-22-18 3:20 PM,6-28-18 1:47 PM,2018-07-17
CA-2014-169684,FH-14365,First Class,VEN05,delivered,12-08-2017 16:25,15-08-2017,8-16-17 2:19 PM,8-31-17 6:14 PM,2017-09-08
CA-2015-100216,HJ-14875,First Class,VEN03,delivered,14-03-2018 09:25,14-03-2018,3-14-18 7:36 PM,3-27-18 7:25 PM,2018-04-05
CA-2015-101154,CM-12190,First Class,VEN02,delivered,06-04-2018 20:34,06-04-2018,4-9-18 9:26 PM,4-10-18 10:19 PM,2018-04-18
CA-2015-102281,MP-17470,First Class,VEN04,delivered,08-03-2018 12:02,08-03-2018,3-12-18 11:08 PM,3-15-18 4:56 PM,2018-03-21
CA-2015-102722,KW-16570,First Class,VEN02,delivered,22-08-2017 15:18,23-08-2017,8-25-17 7:32 PM,8-28-17 3:03 PM,2017-09-14
CA-2015-102778,JH-15820,First Class,VEN02,delivered,20-07-2017 15:55,20-07-2017,7-24-17 12:41 PM,7-28-17 7:48 PM,2017-08-11
CA-2015-103177,EN-13780,First Class,VEN03,delivered,22-04-2018 15:09,24-04-2018,4-24-18 9:49 PM,5-2-18 3:12 PM,2018-05-17
CA-2015-103933,DR-12880,First Class,VEN01,delivered,12-01-2018 16:21,12-01-2018,1-16-18 1:06 PM,3-15-18 8:25 PM,2018-02-08
CA-2015-104038,LO-17170,First Class,VEN04,delivered,15-01-2018 18:08,15-01-2018,1-17-18 8:30 PM,1-24-18 2:52 PM,2018-02-08
CA-2015-104052,TP-21565,First Class,VEN01,delivered,28-03-2018 12:12,28-03-2018,3-29-18 6:51 PM,4-2-18 6:27 PM,2018-04-10
CA-2015-104297,CC-12100,First Class,VEN03,delivered,02-07-2017 13:17,02-07-2017,7-3-17 4:22 PM,7-18-17 5:57 PM,2017-07-31
CA-2015-105221,VM-21685,First Class,VEN04,delivered,04-08-2018 18:22,04-08-2018,8-6-18 2:52 PM,8-8-18 10:56 PM,2018-08-13
CA-2015-105312,MT-17815,First Class,VEN05,delivered,27-11-2017 01:59,27-11-2017,12-1-17 10:07 PM,12-21-17 10:14 PM,2017-12-28
CA-2015-106565,BW-11110,First Class,VEN04,delivered,27-05-2018 18:02,27-05-2018,5-28-18 3:16 PM,6-11-18 7:31 PM,2018-07-16
CA-2015-107741,FC-14335,First Class,VEN01,delivered,23-01-2017 07:23,23-01-2017,1-24-17 8:37 AM,2-2-17 9:17 AM,2017-03-06
CA-2015-109736,DJ-13420,First Class,VEN02,delivered,24-11-2017 00:07,24-11-2017,12-5-17 2:04 AM,12-14-17 12:48 PM,2017-12-14
CA-2015-110870,KD-16270,First Class,VEN03,delivered,22-05-2018 22:16,22-05-2018,5-23-18 2:33 PM,6-7-18 4:54 PM,2018-06-25
CA-2015-110877,JE-15715,First Class,VEN05,delivered,02-09-2017 12:03,02-09-2017,9-4-17 4:22 PM,9-5-17 1:44 PM,2017-09-15
CA-2015-111325,BT-11395,First Class,VEN02,delivered,22-05-2017 21:17,22-05-2017,5-23-17 8:02 AM,5-30-17 9:43 AM,2017-06-02
CA-2015-111339,VP-21760,First Class,VEN03,delivered,22-02-2018 23:33,22-02-2018,2-26-18 10:06 PM,3-3-18 12:32 AM,2018-03-13
CA-2015-111514,SC-20260,First Class,VEN02,delivered,27-07-2017 17:18,27-07-2017,7-28-17 3:33 PM,8-2-17 6:03 PM,2017-08-18
CA-2015-111829,FH-14365,First Class,VEN04,delivered,31-10-2017 14:30,31-10-2017,11-7-17 8:03 PM,11-16-17 10:36 PM,2017-11-24
CA-2015-112557,JL-15850,First Class,VEN05,delivered,14-07-2017 21:31,14-07-2017,7-18-17 4:03 PM,7-24-17 5:48 PM,2017-08-07
CA-2015-114237,MC-17275,First Class,VEN04,delivered,25-07-2017 23:16,25-07-2017,7-26-17 8:22 PM,8-16-17 5:11 AM,2017-08-24
CA-2015-115399,AG-10900,First Class,VEN03,delivered,19-12-2017 22:48,19-12-2017,12-21-17 6:52 PM,12-27-17 9:52 PM,2018-01-08
CA-2015-117828,BD-11500,First Class,VEN03,delivered,23-01-2018 20:14,23-01-2018,1-24-18 3:52 PM,2-5-18 12:15 PM,2018-02-26
CA-2015-118423,DP-13390,First Class,VEN01,delivered,02-05-2017 21:33,04-05-2017,5-4-17 1:37 PM,5-15-17 1:21 PM,2017-06-01
CA-2015-119291,JO-15550,First Class,VEN02,delivered,11-06-2018 10:55,12-06-2018,6-13-18 2:37 PM,6-25-18 9:21 PM,2018-07-16
CA-2015-119690,MV-17485,First Class,VEN01,delivered,03-06-2018 21:08,03-06-2018,6-4-18 2:56 PM,6-5-18 8:32 PM,2018-06-28
CA-2015-119942,TT-21070,First Class,VEN01,delivered,19-03-2018 13:23,19-03-2018,3-20-18 8:33 PM,3-26-18 8:42 PM,2018-04-10
CA-2015-120446,JG-15805,First Class,VEN03,delivered,16-05-2018 21:19,16-05-2018,5-17-18 3:06 PM,6-4-18 4:12 PM,2018-06-18
CA-2015-120782,SD-20485,First Class,VEN04,delivered,24-07-2017 16:14,24-07-2017,7-24-17 9:24 PM,8-1-17 4:38 PM,2017-08-15
CA-2015-121391,AA-10315,First Class,VEN04,delivered,15-01-2018 09:31,15-01-2018,1-17-18 3:05 PM,1-26-18 6:04 PM,2018-02-14
CA-2015-121608,JB-15400,First Class,VEN01,delivered,22-08-2018 10:28,22-08-2018,8-22-18 12:05 PM,8-30-18 8:38 PM,2018-09-06
CA-2015-121720,JE-15610,First Class,VEN01,delivered,15-01-2018 00:14,15-01-2018,1-15-18 9:33 PM,1-24-18 8:18 PM,2018-02-19
CA-2015-123155,NS-18640,First Class,VEN04,delivered,06-04-2018 17:55,06-04-2018,4-10-18 12:22 AM,4-11-18 1:14 AM,2018-04-23
CA-2015-124653,DB-13120,First Class,VEN04,delivered,09-08-2018 11:37,09-08-2018,8-10-18 2:34 PM,8-14-18 6:51 PM,2018-08-22
CA-2015-124919,SP-20650,First Class,VEN01,delivered,24-11-2017 08:10,24-11-2017,12-1-17 3:06 AM,12-11-17 5:52 PM,2017-12-15
CA-2015-124975,MG-17875,First Class,VEN04,delivered,21-05-2017 12:50,22-05-2017,5-23-17 9:11 AM,5-29-17 10:42 AM,2017-06-09
CA-2015-126186,GB-14530,First Class,VEN05,delivered,21-12-2017 22:44,21-12-2017,12-22-17 6:12 PM,1-16-18 4:03 PM,2018-01-24
CA-2015-126697,SV-20815,First Class,VEN03,delivered,26-08-2017 17:56,26-08-2017,8-28-17 1:57 PM,9-9-17 1:44 PM,2017-09-22
CA-2015-127418,JJ-15445,First Class,VEN02,delivered,27-07-2018 19:05,27-07-2018,8-6-18 11:50 AM,8-8-18 11:30 PM,2018-08-15
CA-2015-127453,JK-15370,First Class,VEN05,delivered,05-03-2018 13:26,05-03-2018,3-7-18 3:05 PM,3-16-18 1:05 AM,2018-03-26
CA-2015-129112,AW-10840,First Class,VEN04,delivered,22-05-2017 22:49,22-05-2017,5-24-17 11:54 AM,6-2-17 2:57 PM,2017-06-13
CA-2015-129700,LA-16780,First Class,VEN01,delivered,12-10-2017 23:09,12-10-2017,10-13-17 9:22 PM,10-16-17 9:14 PM,2017-10-25
CA-2015-129917,HM-14980,First Class,VEN05,delivered,28-11-2017 12:05,28-11-2017,11-29-17 12:04 PM,12-7-17 3:58 PM,2017-12-22
CA-2015-130218,SG-20470,First Class,VEN02,delivered,05-10-2017 16:00,05-10-2017,10-6-17 6:23 PM,10-11-17 7:34 PM,2017-10-31
CA-2015-130554,FM-14290,First Class,VEN05,delivered,26-02-2018 15:06,26-02-2018,2-27-18 3:09 PM,2-28-18 3:42 PM,2018-03-12
